group	y	clickSelects
1	-0.455555734227983	7
1	-0.52357867346951	8
1	-0.492711096281647	9
1	-0.431751244125262	10
1	-0.389456151876932	11
1	-0.318327622736462	12
1	-0.455555734227983	7
1	-0.52357867346951	8
1	-0.505164947544319	9
1	-0.521498834888517	10
1	-0.513659667950878	11
1	-0.489477859927073	12
1	-0.080256480081827	7
1	-0.144045262231367	8
1	-0.0539630217548051	9
1	-0.52304722767017	10
1	-0.516020724952167	11
1	-0.536779274637556	12
1	-0.080256480081827	7
1	-0.144045262231367	8
1	-0.137849431346404	9
1	-0.138129843835031	10
1	-0.13011438988288	11
1	-0.15577858231659	12
1	-0.495807907735734	25
1	-0.410501381045733	26
1	-0.451840976274239	27
1	-0.340361326294652	28
1	-0.373418570810575	29
1	-0.392530833550094	30
1	-0.495807907735734	25
1	-0.410501381045733	26
1	-0.461653789022163	27
1	-0.46490191553399	28
1	-0.461133059172	29
1	-0.464993522580878	30
1	-0.000963103250632305	25
1	-0.0618574484331692	26
1	-0.0977781033083941	27
1	-0.200651592613374	28
1	-0.328741777739257	29
1	-0.447721181066677	30
1	-0.000963103250632305	25
1	-0.0618574484331692	26
1	-0.0691285525963857	27
1	-0.0902837420323892	28
1	-0.0947453488582868	29
1	-0.0852029750279383	30
1	-0.563885271692302	43
1	-0.614230795776514	44
1	-0.481376783411489	45
1	-0.460595277703405	46
1	-0.58354251230131	47
1	-0.535847392121818	48
1	-0.563885271692302	43
1	-0.614230795776514	44
1	-0.614402895687867	45
1	-0.609279112195978	46
1	-0.612499041974227	47
1	-0.614601305271986	48
1	-0.0784421700423313	43
1	-0.0717342947764128	44
1	-0.118208192012426	45
1	-0.181252545267014	46
1	-0.289117751178136	47
1	-0.333080746685074	48
1	-0.0784421700423313	43
1	-0.0717342947764128	44
1	-0.0773722781149667	45
1	-0.0714202910232569	46
1	-0.066335375760443	47
1	-0.07730635457589	48
