group	colour	y	x	clickSelects	showSelected1	PANEL
1	#0000FF	-0.495651979492715	1	1	featureless	1
1	#0000FF	-0.496601048168068	1.25527250510331	1	featureless	1
1	#0000FF	-0.512003797785377	1.51851393987789	1	featureless	1
1	#0000FF	-0.517038698966774	1.77815125038364	1	featureless	1
1	#0000FF	-0.511368197789869	2.04139268515823	1	featureless	1
1	#0000FF	-0.489477859927073	2.30102999566398	1	featureless	1
1	#0000FF	-0.0964621235016715	1	1	featureless	2
1	#0000FF	-0.0557222490806309	1.25527250510331	1	featureless	2
1	#0000FF	-0.158085185100615	1.51851393987789	1	featureless	2
1	#0000FF	-0.154912164660695	1.77815125038364	1	featureless	2
1	#0000FF	-0.15052109585825	2.04139268515823	1	featureless	2
1	#0000FF	-0.15577858231659	2.30102999566398	1	featureless	2
1	#0000FF	-0.486767323502953	1	1	featureless	3
1	#0000FF	-0.49152913380508	1.25527250510331	1	featureless	3
1	#0000FF	-0.487181870363837	1.51851393987789	1	featureless	3
1	#0000FF	-0.472922750404129	1.77815125038364	1	featureless	3
1	#0000FF	-0.465518213848423	2.04139268515823	1	featureless	3
1	#0000FF	-0.464993522580878	2.30102999566398	1	featureless	3
1	#0000FF	-0.0547770346587207	1	1	featureless	4
1	#0000FF	-0.0499599492226004	1.25527250510331	1	featureless	4
1	#0000FF	-0.0014262733888473	1.51851393987789	1	featureless	4
1	#0000FF	-0.048087539980526	1.77815125038364	1	featureless	4
1	#0000FF	-0.0739425468290299	2.04139268515823	1	featureless	4
1	#0000FF	-0.0852029750279383	2.30102999566398	1	featureless	4
1	#0000FF	-0.515816135968325	1	1	featureless	5
1	#0000FF	-0.582892560596371	1.25527250510331	1	featureless	5
1	#0000FF	-0.584478501940958	1.51851393987789	1	featureless	5
1	#0000FF	-0.614747409547856	1.77815125038364	1	featureless	5
1	#0000FF	-0.615520850619291	2.04139268515823	1	featureless	5
1	#0000FF	-0.614601305271986	2.30102999566398	1	featureless	5
1	#0000FF	-0.0379844045631678	1	1	featureless	6
1	#0000FF	-0.0398126469063918	1.25527250510331	1	featureless	6
1	#0000FF	-0.0712001053986964	1.51851393987789	1	featureless	6
1	#0000FF	-0.0778388274574156	1.77815125038364	1	featureless	6
1	#0000FF	-0.0805849389133469	2.04139268515823	1	featureless	6
1	#0000FF	-0.07730635457589	2.30102999566398	1	featureless	6
2	#0000FF	-0.455555734227983	1	2	featureless	1
2	#0000FF	-0.52357867346951	1.25527250510331	2	featureless	1
2	#0000FF	-0.505164947544319	1.51851393987789	2	featureless	1
2	#0000FF	-0.521498834888517	1.77815125038364	2	featureless	1
2	#0000FF	-0.513659667950878	2.04139268515823	2	featureless	1
2	#0000FF	-0.489477859927073	2.30102999566398	2	featureless	1
2	#0000FF	-0.080256480081827	1	2	featureless	2
2	#0000FF	-0.144045262231367	1.25527250510331	2	featureless	2
2	#0000FF	-0.137849431346404	1.51851393987789	2	featureless	2
2	#0000FF	-0.138129843835031	1.77815125038364	2	featureless	2
2	#0000FF	-0.13011438988288	2.04139268515823	2	featureless	2
2	#0000FF	-0.15577858231659	2.30102999566398	2	featureless	2
2	#0000FF	-0.495807907735734	1	2	featureless	3
2	#0000FF	-0.410501381045733	1.25527250510331	2	featureless	3
2	#0000FF	-0.461653789022163	1.51851393987789	2	featureless	3
2	#0000FF	-0.46490191553399	1.77815125038364	2	featureless	3
2	#0000FF	-0.461133059172	2.04139268515823	2	featureless	3
2	#0000FF	-0.464993522580878	2.30102999566398	2	featureless	3
2	#0000FF	-0.000963103250632305	1	2	featureless	4
2	#0000FF	-0.0618574484331692	1.25527250510331	2	featureless	4
2	#0000FF	-0.0691285525963857	1.51851393987789	2	featureless	4
2	#0000FF	-0.0902837420323892	1.77815125038364	2	featureless	4
2	#0000FF	-0.0947453488582868	2.04139268515823	2	featureless	4
2	#0000FF	-0.0852029750279383	2.30102999566398	2	featureless	4
2	#0000FF	-0.563885271692302	1	2	featureless	5
2	#0000FF	-0.614230795776514	1.25527250510331	2	featureless	5
2	#0000FF	-0.614402895687867	1.51851393987789	2	featureless	5
2	#0000FF	-0.609279112195978	1.77815125038364	2	featureless	5
2	#0000FF	-0.612499041974227	2.04139268515823	2	featureless	5
2	#0000FF	-0.614601305271986	2.30102999566398	2	featureless	5
2	#0000FF	-0.0784421700423313	1	2	featureless	6
2	#0000FF	-0.0717342947764128	1.25527250510331	2	featureless	6
2	#0000FF	-0.0773722781149667	1.51851393987789	2	featureless	6
2	#0000FF	-0.0714202910232569	1.77815125038364	2	featureless	6
2	#0000FF	-0.066335375760443	2.04139268515823	2	featureless	6
2	#0000FF	-0.07730635457589	2.30102999566398	2	featureless	6
3	#0000FF	-0.267882200966396	1	3	featureless	1
3	#0000FF	-0.445053334036122	1.25527250510331	3	featureless	1
3	#0000FF	-0.425753896562709	1.51851393987789	3	featureless	1
3	#0000FF	-0.484150940571439	1.77815125038364	3	featureless	1
3	#0000FF	-0.483099003290942	2.04139268515823	3	featureless	1
3	#0000FF	-0.489477859927073	2.30102999566398	3	featureless	1
3	#0000FF	-0.158850627640382	1	3	featureless	2
3	#0000FF	-0.148755016476775	1.25527250510331	3	featureless	2
3	#0000FF	-0.161834460382368	1.51851393987789	3	featureless	2
3	#0000FF	-0.159194127920395	1.77815125038364	3	featureless	2
3	#0000FF	-0.161315600629887	2.04139268515823	3	featureless	2
3	#0000FF	-0.15577858231659	2.30102999566398	3	featureless	2
3	#0000FF	-0.420565504847297	1	3	featureless	3
3	#0000FF	-0.492454814192756	1.25527250510331	3	featureless	3
3	#0000FF	-0.488684452506806	1.51851393987789	3	featureless	3
3	#0000FF	-0.49131137007684	1.77815125038364	3	featureless	3
3	#0000FF	-0.465282778248735	2.04139268515823	3	featureless	3
3	#0000FF	-0.464993522580878	2.30102999566398	3	featureless	3
3	#0000FF	-0.0718810744821471	1	3	featureless	4
3	#0000FF	-0.0884869771173981	1.25527250510331	3	featureless	4
3	#0000FF	-0.0605404962127054	1.51851393987789	3	featureless	4
3	#0000FF	-0.0655352608397522	1.77815125038364	3	featureless	4
3	#0000FF	-0.077546913156774	2.04139268515823	3	featureless	4
3	#0000FF	-0.0852029750279383	2.30102999566398	3	featureless	4
3	#0000FF	-0.610288856219565	1	3	featureless	5
3	#0000FF	-0.609396068644637	1.25527250510331	3	featureless	5
3	#0000FF	-0.611053638659907	1.51851393987789	3	featureless	5
3	#0000FF	-0.609377649695027	1.77815125038364	3	featureless	5
3	#0000FF	-0.613177749270949	2.04139268515823	3	featureless	5
3	#0000FF	-0.614601305271986	2.30102999566398	3	featureless	5
3	#0000FF	-0.0437884015152607	1	3	featureless	6
3	#0000FF	-0.065566045349304	1.25527250510331	3	featureless	6
3	#0000FF	-0.0742483640858545	1.51851393987789	3	featureless	6
3	#0000FF	-0.0664422541281972	1.77815125038364	3	featureless	6
