group	y	clickSelects
1	-0.267882200966396	13
1	-0.445053334036122	14
1	-0.437697302369272	15
1	-0.377777060198291	16
1	-0.334937900142566	17
1	-0.318327622736462	18
1	-0.267882200966396	13
1	-0.445053334036122	14
1	-0.425753896562709	15
1	-0.484150940571439	16
1	-0.483099003290942	17
1	-0.489477859927073	18
1	-0.158850627640382	13
1	-0.148755016476775	14
1	-0.176553205451738	15
1	-0.381336236266044	16
1	-0.489099224415646	17
1	-0.536779274637556	18
1	-0.158850627640382	13
1	-0.148755016476775	14
1	-0.161834460382368	15
1	-0.159194127920395	16
1	-0.161315600629887	17
1	-0.15577858231659	18
1	-0.420565504847297	31
1	-0.492454814192756	32
1	-0.464368250912891	33
1	-0.441223213689575	34
1	-0.459520820221286	35
1	-0.392530833550094	36
1	-0.420565504847297	31
1	-0.492454814192756	32
1	-0.488684452506806	33
1	-0.49131137007684	34
1	-0.465282778248735	35
1	-0.464993522580878	36
1	-0.0718810744821472	31
1	-0.0884869771173981	32
1	-0.131738336738018	33
1	-0.263368661637202	34
1	-0.426486150911554	35
1	-0.447721181066677	36
1	-0.0718810744821471	31
1	-0.0884869771173981	32
1	-0.0605404962127054	33
1	-0.0655352608397522	34
1	-0.077546913156774	35
1	-0.0852029750279383	36
1	-0.610288856219565	49
1	-0.609396068644637	50
1	-0.555972683785115	51
1	-0.562604983939755	52
1	-0.51521434934262	53
1	-0.535847392121818	54
1	-0.610288856219565	49
1	-0.609396068644637	50
1	-0.611053638659907	51
1	-0.609377649695027	52
1	-0.613177749270949	53
1	-0.614601305271986	54
1	-0.0437884015152607	49
1	-0.065566045349304	50
1	-0.0149957988313921	51
1	-0.140647313148512	52
1	-0.270904448099024	53
1	-0.333080746685074	54
1	-0.0437884015152607	49
1	-0.065566045349304	50
1	-0.0742483640858545	51
1	-0.0664422541281972	52
1	-0.0727548207894901	53
1	-0.07730635457589	54
